video_ID,group,text
-_Cw5A9gBiM,Политические,Умница.
-_Cw5A9gBiM,Политические,"Мне приходится много смотреть телек, жена его не выключает, спрятаться негде. Есть некоторые ведущие ещё вменяемые, типа Гордона в мужскомженском, но в основном просто полный зверинец, одни низкие страсти, патриотизм негодяев, семейное насилие, алименты, звезды попсы. полная победа плана Барбаросса, именно такое телевидение для славян сделал бы фюрер!"
-_Cw5A9gBiM,Политические,"Нее. Вы ненавидите своё прошлое Совок, мовок. А что в совке было плохо? Люди добрее, нравственнее. Соц защита людей во сто крат лучше!"
-_Cw5A9gBiM,Политические,Соболь - не такой уж ценный мех.
-_Cw5A9gBiM,Политические,Венедиктов это 00000.
-_Cw5A9gBiM,Политические,"А где интервью с Соловьевым, Киселевым. Армянкой. В прекрасной России будущего должны быть представлены разные позиции. А так одна демагогия."
-_Cw5A9gBiM,Политические,Пивоваров продажный.
-_Cw5A9gBiM,Политические,"Меня порой просто смешит наивность Соболь! Пока существуют в мире деньги, будут существовать олигархи, пока будут существовать олигархи они будут борзеть! При чем всё сильнее и сильнее! Это закон природы, природы олигархата!"
-_Cw5A9gBiM,Политические,Венедиктов. слов нет.
-_Cw5A9gBiM,Политические," Пивоваров, как там в Норильске?"
-_Cw5A9gBiM,Политические,"Люба, выдвигайтесь в президенты."
-_Cw5A9gBiM,Политические,Ответ на вопросы один должны быть рынок и конкуренция!
-_Cw5A9gBiM,Политические,Интересно.
-_Cw5A9gBiM,Политические,"Начните с ВЫБОРНЫХ НЕЗАВИСИМЫХ СУДОВ. Если этого не будет, все остальное - переливание из пустого в порожнее. Если тебя НЕКОМУ ЗАЩИЩАТЬ, сиди и не квакай. Все просто."
-_Cw5A9gBiM,Политические,Ну только не Медузе о свободе говорить ОНПешники.
-_Cw5A9gBiM,Политические,Телевизор себя изжил.
-_Cw5A9gBiM,Политические,"Именно так, милая, вместе с Путиным в вечность канет вся ваша продажная тусовка, вот только Парфенова оставьте и не замазывайте своим дерьмом."
-_Cw5A9gBiM,Политические,"Парфёноф , выложил ролик про АК-47. Попускал пузыри. И ничего не сказал. о происхождении АК47. Нафига Парфеноф нёс пургу. Нафига эти Парфеновы."
-_Cw5A9gBiM,Политические,"конечно лайк, но считаю, что тема не раскрыта."
-_Cw5A9gBiM,Политические,"Не позорьтесь, зачем добавлять сюда Пивоварова и Венедиктова? Первый ролик на канале, которому поставил дизлайк."
-_Cw5A9gBiM,Политические,Венедиктов и Синдеева.
-_Cw5A9gBiM,Политические,Очень круто.
-_Cw5A9gBiM,Политические,Хороший формат! Россия будет свободной!
-_Cw5A9gBiM,Политические,"Что-то новенькое так держать, ничего не зря видим, слушаем."
-_Cw5A9gBiM,Политические,"Что-то Соболь глуповато себя показала на контр вопросах. Не дотягивает ни до одного из спикеров. Я не кремлебот, но правда подкачала в стилистике интервью."
-_Cw5A9gBiM,Политические,о секси соска моя любимая кому нравится ставим лайк.
-_Cw5A9gBiM,Политические,А что делать с Россией настоящего? Некоторые боюсь до ПРБ не доживут.
-_Cw5A9gBiM,Политические,сколько либерах в одном ролике. аж блевать тянет.
-_Cw5A9gBiM,Политические,"Молодец, Люба, правду, только правду, во все уши и всегда!."
-_Cw5A9gBiM,Политические,"Георгий Перемотин глупо! Вероника говорит правду, вы что не знаете, как работает соболь? Так что возьмите свою пятнашку и покажите соболь, но она не возьмёт. Мало."
-_Cw5A9gBiM,Политические,Вероника Томина 15 руб.
-_Cw5A9gBiM,Политические,Вероника Томина на 15 коп.
-_Cw5A9gBiM,Политические,Огонь.
-_Cw5A9gBiM,Политические,Шикарный выпуск.
-_Cw5A9gBiM,Политические,Поддержим Храброгорск.
-_Cw5A9gBiM,Политические,Любаня а самая честная мне показалась это Синдеева.
-_Cw5A9gBiM,Политические,Веника в урну истории.
-_Cw5A9gBiM,Политические,Лайк просто за сюжет.
-_Cw5A9gBiM,Политические,7веник это будущее сми? Не смешите мои покрышки и пиваварова минус.
-_Cw5A9gBiM,Политические,"Когда у всех будут одинаковые права народ рассудит, кому делать будущие СМИ."
-_Cw5A9gBiM,Политические,"656 Попали в точку, браво!"
-_Cw5A9gBiM,Политические,"ну нормально? Леша Пивоваров рассуждает о независимости СМИ, при этом подставив свою попку олигарху Потанину а тот зашел в него по самые помидоры да и Венедиктов так Путину и Собянину попу вылизывает, что многим поучиться надо у него из ролика вывод никто из присутствующих понятия не имеет, как сделать независимое СМИ. бла-бла."
-_Cw5A9gBiM,Политические,"А, что СТРАШНО высказываться прямо, не прячась?"
-_Cw5A9gBiM,Политические,Спасибо большое за выпуск. Вы даете надежду на будущее 3.
-_Cw5A9gBiM,Политические,Т. н президент ни разу не участвовал в дебатах. Разве это не узурпатор.
-_Cw5A9gBiM,Политические,Когда Грефа американского агента арестуют в России? Когда Путин признает Грефа агентом фашистов?
-_Cw5A9gBiM,Политические,"СМИ дожны быть открытыми, каждое издание, телеканал, радио, ютуб канал и т. д. выбор лично каждого что смотреть , слушать или читать. Сколько людей, столько и мнений. А большинство мнений и есть показатель добросовестной работы СМИ."
-_Cw5A9gBiM,Политические,Любовь Вы Красотка. Жикарно выглядите несмотря ни на что!
-_Cw5A9gBiM,Политические,"Парфёнов , ты как будто мои мысли всегда читаешь. или я твои. Ты лучший журналист по праву!"
-_Cw5A9gBiM,Политические,"Люба как всегда молодец. Горжусь, что в России есть такие люди."
-_Cw5A9gBiM,Политические,"А как там дела у первого канала? До сих пор банкроты? Интересно почему, да? Канал, который никто не смотрит, не может привлечь рекламодателей, которые ему и платят. Такой канал становится полностью на гособеспечении. А гособеспечение - это такой трэш, такой трэш, что лучше было бы просто закрыться и всё. Ну флаг им в руки."
-_Cw5A9gBiM,Политические,"Удачи в дольнейшм , так держать."
-_Cw5A9gBiM,Политические,"Да да Венедиктов прям первый кто на ум приходит, при словосочетании Образ будущего СМИ, лол пепеги."
-_Cw5A9gBiM,Политические,СМИ должны регулироваться правдой. Правду должны защищать суды. Суды должен контролировать президент. Президента должны выбирать граждане под контролем правдивых СМИ.
-_Cw5A9gBiM,Политические,А если допустим некто Грузинская забывает спросить у допустим сына топ-менеджера Газоскважины не связан ли успех его бизнеса в Мумбаи с деньгами отца. Это образ какого СМИ?
-_Cw5A9gBiM,Политические,Про арбитраж для СМИ - чушь.
-_Cw5A9gBiM,Политические,"Греф, предатель, ЗАКРЫЛ Царьград!"
-_Cw5A9gBiM,Политические,"Читайте книгу Власть в тротилловом эквиваленте. С чего начали к тому и пришли, потеряв при этом и страну и собственность и дружбу народов!"
-_Cw5A9gBiM,Политические,Люба ты как всегда супер супер секси.
-_Cw5A9gBiM,Политические,Веник динозавр.
-_Cw5A9gBiM,Политические,Никаких СМИ за деньги налогоплательщиков. Только рынок.
-_Cw5A9gBiM,Политические,"Ни о чём, ставь про Ха."
-_Cw5A9gBiM,Политические,"Хорошая попытка, Дудь, но мы тебя узнали."
-_Cw5A9gBiM,Политические,Интересная тема! Любе Соболь-пять баллов.
-_Cw5A9gBiM,Политические,"даже если сейчас, вот завтра все изменить, то как минимум все для начала нужно выстраивать все социальные институты, от сексуального воспитания и социальной работы, до всеобщей осведомленности ОБЖ. Что говорить, если дети из детдома не знают чем мыть посуду, а молодежь в возрасте 22-25 лет до сих пор ведуться на интернет мошшенииков. а для повышения рождаемости нужно вообще все выстравивать- от медицины до образования, для которого нужно сначала вырастить специалтство, которые смогут обучать. То есть как минимум еще лет 10-15 работы, даже если завтра все резко изменится."
-_Cw5A9gBiM,Политические,Крутой формат! Спасибо!. Надеюсь будете набирать много просмотров.
-_Cw5A9gBiM,Политические,"В СМИ как в МВД, либо борешься за правду до последнего и уходишь выгоняют, убивают и т. д. , либо становишься гнидой."
-_Cw5A9gBiM,Политические,"Надеюсь скоро это произойдет, вот только после 20 лет пропаганды и лжи это будет тяжкий труд."
-_Cw5A9gBiM,Политические,Комментарий для продвижения ролика.
-_Cw5A9gBiM,Политические,"Люба ты супер , огромное тебе уважение , секс символ."
-_Cw5A9gBiM,Политические,"1650 да, пару человек и приходило жечь газету перед редакцией, а теперь те, кто мог жечь, уехали. Остальным баранам всё нравится."
-_Cw5A9gBiM,Политические,"А если некое медиа, допустим Жаба, сначала отписывает, как плохо лапать девочек мальчикам, а потом чисто по-братски разрешает неким своим друзьям лапать сотрудниц. Это образ какого СМИ?"
-_Cw5A9gBiM,Политические,Синдеева и Люба! Класс!
-_Cw5A9gBiM,Политические,"Библейский народ знает какая инфа нужна русским, чё скажут то Иваны да Марьи схавают."
-_Cw5A9gBiM,Политические,Пивоваров скользкий тип.
-_Cw5A9gBiM,Политические,Прекрасный репортаж! Браво!
-_Cw5A9gBiM,Политические,В топ!
-_Cw5A9gBiM,Политические,"1537. Во времена Владимира Ельцина, это была фрейдистская оговорка."
-_Cw5A9gBiM,Политические,"Любовь, продолжайте выпускать видео материал в таком формате, это профессионально, интересно, эффективно! Это будет по настоящему опозиционное СМИ! Это настоящая журналистика. Удачи!"
-_Cw5A9gBiM,Политические,Очень интересно! Большое спасибо! Вы просто молодец!
-_Cw5A9gBiM,Политические,люблю Соболь!
-_Cw5A9gBiM,Политические,"Я считаю, что честная конкуренция и независимый честный суд может решить много проблем. А тратить налоги граждан на содержание собственного канала - безответственно и неэффективно."
-_Cw5A9gBiM,Политические,"По воле рока. Так случилось,. Иль это нрав у нас таков?. Зачем кремлю,. Скажи на милость,. Такое множество врагов?. Но на судьбу. Не стоит дуться. Там, у других, вдали - Бог есть!. А здесь, у Вас,. Враги найдутся,. Была бы честь, была бы честь!. Не вешать нос,. Хабаровчане!. Дурна ли жизнь, иль хороша. За выбор Ваш Хабаровчане,. Стоять придется. До конца!. В делах людей,. Сто за сто мирных,. Стезя сегодня такова,. Что русский взнос. За счастье милых -. Не кошелек, а голова. Дубинки свист,. И вой сирены,. И тьмы острожной тишина. За Выбор Ваш. Стоять придется -. Хабаровчане до конца!. Не вешать нос,. Хабаровчане!. Дурна ли жизнь. Иль хороша,. За выбор Ваш,. Стоять придется,. Хабаровчане до конца!"
-_Cw5A9gBiM,Политические,"А вот если допустим некто Виноделов взял деньги у Вормедь за репортажик, это образ какого СМИ?"
-_Cw5A9gBiM,Политические,Ооо вот это очень интересно!
-_Cw5A9gBiM,Политические,"Замечательная компания либералов ориентированных на запад и американскую мечту. Все они замечательные люди, борцы с современной действительностью, но нужна ли России американская мечта?"
-_Cw5A9gBiM,Политические,"Всё правильно, я с этою женщиною согласен, по Украински РЫНОК по Русски БАЗАР, а рынок и базар там бардельи бардак, это грабьёж, воровство, убийства, притоны, мошейничество, одним словом бандитизм терроризм на высшем уровне, тем более наши люди любые, хоть простые хоть во власти, понятия не имеют что такое бизнес, они выросли и учились, лечились безплатно в Советском Союзе, а вот напёрсточники, форсовщики, спикулянты, мошейники, лжецы, ворюги и грабители, то люди во власти и простые, хорошо знают и умеют это всё делать. Так что умные морды не стройте, и чуш свою лохотронную личную оставте при себе, или лечите уши своим детям и внукам, а то противно слушать ваши сказки. Приватизировано в личную собственность совершенно всё, газ, нефть, электричество, земли, и леса и все все ископаемы, а мы рабы должны и безплатно работать сутками за прожиточный минимум мрот, за фальш рубли РФ. Я прошёл два суда, и корме чистого и подлого вранья, я на судеть ничего не услышал и не увидель. Суды в России до костей лживые и подлые."
-_Cw5A9gBiM,Политические,"Ну наконец-то, е-маё!"
-_Cw5A9gBiM,Политические,"Эта. Соболева? Будущее. России? Ужас,!"
-_Cw5A9gBiM,Политические,Любовь вы такая красивая.
-_Cw5A9gBiM,Политические,Классный проект!
-_Cw5A9gBiM,Политические,"Никакой цензуры? Да, ну, давайте проверим. Можно грязный анекдот про Навального и Соболь здесь рассказывать, а?"
